,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Position
3256,G. Di Lorenzo,24,Italy,72,76,Empoli,€3.4M,€9K,RB
3257,S. Sam,30,Germany,72,72,VfL Bochum 1848,€2.9M,€14K,LM
3258,B. Kayal,30,Israel,72,72,Brighton & Hove Albion,€2.9M,€31K,LCM
3259,Wellington Nem,26,Brazil,72,74,Shakhtar Donetsk,€3.8M,€1K,CAM
3260,A. Johansson,36,Sweden,72,72,IFK Norrköping,€425K,€4K,CB
3261,Jon Bautista,22,Spain,72,78,Real Sociedad,€4.3M,€18K,ST
3262,E. Mulder,29,Netherlands,72,73,Swansea City,€2.4M,€16K,GK
3263,Isaías,31,Spain,72,72,Adelaide United,€2.1M,€4K,CDM
3264,D. Bessa,25,Italy,72,76,Genoa,€3.9M,€4K,CM
3265,K. Karaman,24,Turkey,72,76,Fortuna Düsseldorf,€4.1M,€18K,LM
3266,A. Malarz,38,Poland,72,72,Legia Warszawa,€210K,€4K,GK
3267,C. Carbonero,27,Colombia,72,72,Deportivo Cali,€3.2M,€3K,CM
3268,Naranjo,23,Spain,72,78,CD Tenerife,€4.3M,€7K,LS
3269,J. Ruddy,31,England,72,72,Wolverhampton Wanderers,€1.9M,€31K,GK
3270,T. Barnetta,33,Switzerland,72,72,FC St. Gallen,€1.9M,€12K,CAM
3271,A. Jóhannsson,27,United States,72,72,SV Werder Bremen,€3.3M,€21K,ST
3272,M. Murillo,22,Panama,72,80,New York Red Bulls,€3.9M,€5K,RB
3273,Patric,25,Spain,72,75,Lazio,€3.2M,€26K,RB
3274,O. El Hajjam,27,Morocco,72,73,Amiens SC,€2.9M,€13K,RB
3275,M. Lehmann,35,Germany,72,72,1. FC Köln,€725K,€10K,CDM
3276,F. Ceccherini,26,Italy,72,77,Fiorentina,€3.4M,€32K,CB
3277,N. Aguirre,27,Argentina,72,72,Granada CF,€3.2M,€8K,CM
3278,R. Bauer,23,Germany,72,76,1. FC Nürnberg,€3.4M,€15K,RB
3279,Otávinho Vila,34,Brazil,72,72,Cruzeiro,€950K,€18K,LDM
3280,A. Mendy,24,France,72,77,FC Girondins de Bordeaux,€4.2M,€26K,ST
3281,D. Malen,19,Netherlands,72,83,PSV,€5M,€6K,LW
3282,V. Granat,31,Russia,72,72,,€ 0,€ 0,CB
3283,P. Aránguiz,21,Chile,72,81,FC Dallas,€4.8M,€5K,CAM
3284,Sandelas Júnior,26,Brazil,72,72,Santos,€2.7M,€12K,LDM
3285,O. Hawsawi,34,Saudi Arabia,72,72,Al Wehda,€950K,€17K,RCB
3286,F. Silva,32,Chile,72,72,Independiente,€2.4M,€15K,CM
3287,B. Carrasco,27,Chile,72,72,Tiburones Rojos de Veracruz,€3.3M,€7K,RM
3288,J. Schunke,31,Argentina,72,72,Estudiantes de La Plata,€2.1M,€11K,RCB
3289,S. Ujkani,29,Kosovo,72,72,Çaykur Rizespor,€2.1M,€9K,GK
3290,G. Castellani,30,Argentina,72,72,Atlético Nacional,€2.9M,€5K,LCM
3291,L. Jiménez,34,Chile,72,72,CD Palestino,€1.6M,€4K,RW
3292,Dener,26,Brazil,72,74,Portimonense SC,€3.7M,€8K,CM
3293,M. Flekken,25,Netherlands,72,75,SC Freiburg,€2.8M,€12K,GK
3294,Pedro Nuno,23,Portugal,72,79,Moreirense FC,€4.4M,€5K,LW
3295,D. Kamada,21,Japan,72,79,Sint-Truidense VV,€4.5M,€19K,CF
3296,N. Bendtner,30,Denmark,72,72,Rosenborg BK,€3M,€7K,ST
3297,Lee Chang Min,24,Korea Republic,72,77,Jeju United FC,€4.1M,€5K,CM
3298,João Pedro,21,Brazil,72,81,FC Porto,€4.1M,€6K,RB
3299,M. Bakakis,27,Greece,72,73,AEK Athens,€2.9M,€1K,RB
3300,Zeng Cheng,31,China PR,72,72,Guangzhou Evergrande Taobao FC,€1.9M,€10K,GK
3301,M. James,26,England,72,72,Leicester City,€3.3M,€41K,CM
3302,G. Vural,30,Turkey,72,72,Akhisar Belediyespor,€2.9M,€13K,LB
3303,M. Pérez,27,Colombia,72,72,Deportes Tolima,€3.3M,€4K,ST
3304,T. Chery,30,Netherlands,72,72,Kayserispor,€2.9M,€12K,CAM
3305,D. Mili?evi?,32,Bosnia Herzegovina,72,72,KAS Eupen,€2.4M,€10K,CAM
3306,G. McAuley,38,Northern Ireland,72,72,Rangers FC,€425K,€23K,CB
3307,M. Barrow,25,Gambia,72,73,Reading,€3.7M,€25K,LW
3308,A. Scholz,25,Denmark,72,76,FC Midtjylland,€3.4M,€14K,CB
3309,Timo Triano,34,Brazil,72,72,Botafogo,€950K,€15K,LDM
3310,A. Elmohamady,30,Egypt,72,72,Aston Villa,€2.2M,€14K,RB
3311,Lucas Piazon,24,Brazil,72,77,Chelsea,€4.2M,€55K,RW
3312,C. Baeza,24,Chile,72,78,Colo-Colo,€4.2M,€6K,CM
3313,Kim Min Jae,21,Korea Republic,72,79,Jeonbuk Hyundai Motors,€3.8M,€6K,CB
3314,Fábio Pacheco,30,Portugal,72,72,Moreirense FC,€2.3M,€5K,CDM
3315,A. Maher,24,Netherlands,72,75,AZ Alkmaar,€3.9M,€10K,LCM
3316,J. Akpa Akpro,25,Ivory Coast,72,75,US Salernitana 1919,€3.8M,€4K,RCM
3317,M. Frey,23,Switzerland,72,78,Fenerbahçe SK,€4.3M,€38K,ST
3318,S. Vittor,29,Argentina,72,73,CD Universidad de Concepción,€2.7M,€14K,RCB
3319,Romarinho,27,Brazil,72,72,Al Ittihad,€3.3M,€28K,ST
3320,B. Srarfi,21,Tunisia,72,80,OGC Nice,€4.6M,€18K,RW
3321,D. Khocholava,25,Georgia,72,75,Shakhtar Donetsk,€3.3M,€1K,CB
3322,C. Puggioni,37,Italy,72,72,Benevento,€210K,€2K,GK
3323,T. Necid,28,Czech Republic,72,72,ADO Den Haag,€3.2M,€9K,ST
3324,T. Lees,27,England,72,73,Sheffield Wednesday,€2.9M,€19K,RCB
3325,L. Castro,29,Colombia,72,72,Kaizer Chiefs,€3.1M,€1K,LS
3326,P. Cissé,22,Senegal,72,82,Olympiacos CFP,€4.4M,€1K,RCB
3327,Pimentiscinho,30,Brazil,72,72,Vitória,€2.3M,€10K,LDM
3328,E. Stevens,27,Republic of Ireland,72,72,Sheffield United,€2.6M,€10K,LWB
3329,Aitor,27,Spain,72,75,Levante UD,€2.6M,€12K,GK
3330,I. Hayden,23,England,72,79,Newcastle United,€3.7M,€25K,CDM
3331,R. Strieder,25,Germany,72,75,FC Utrecht,€3.3M,€12K,CDM
3332,R. Noir,31,Argentina,72,72,Atlético Tucumán,€2.7M,€15K,LM
3333,Juankar,28,Spain,72,72,Málaga CF,€2.5M,€8K,LB
3334,Brandon Thomas,23,Spain,72,79,CA Osasuna,€4.4M,€21K,ST
3335,J. Bijlow,20,Netherlands,72,82,Feyenoord,€3.9M,€5K,GK
3336,H. Wilson,21,Wales,72,84,Derby County,€5.5M,€48K,RW
3337,A. González,24,Argentina,72,77,Godoy Cruz,€4.2M,€11K,RW
3338,C. Jean,22,France,72,77,Toulouse Football Club,€4.2M,€17K,RM
3339,T. Adams,19,United States,72,84,New York Red Bulls,€4.8M,€3K,RCM
3340,O. Zahustel,27,Czech Republic,72,73,Sparta Praha,€2.9M,€1K,RB
3341,Casadesús,33,Spain,72,72,AD Alcorcón,€2M,€9K,ST
3342,T. Moulin,28,France,72,73,MKE Ankaragücü,€2.8M,€15K,CDM
3343,D. Riascos,32,Colombia,72,72,Dalian YiFang FC,€2.5M,€11K,ST
3344,B. Osborn,23,England,72,78,Nottingham Forest,€4.3M,€29K,LM
3345,Vieiraldo Junior,26,Brazil,72,72,Sport Club do Recife,€2.7M,€11K,LDM
3346,P. Billing,22,Denmark,72,83,Huddersfield Town,€4.7M,€25K,LCM
3347,E. Ponce,21,Argentina,72,80,AEK Athens,€4.7M,€1K,ST
3348,Enzo Merques,34,Brazil,72,72,Internacional,€875K,€17K,LB
3349,Rômulo Calsede,30,Brazil,72,72,Atlético Mineiro,€3M,€25K,ST
3350,Marlion Simões,26,Brazil,72,72,Ceará Sporting Club,€2.6M,€14K,LB
3351,Jota,27,Spain,72,72,Birmingham City,€3.3M,€21K,RM
3352,Pedro Tiba,29,Portugal,72,72,Lech Pozna?,€3M,€8K,LDM
3353,M. Torsiglieri,30,Argentina,72,72,Club Atlético Lanús,€2.3M,€11K,LCB
3354,D. Maietta,35,Italy,72,72,Empoli,€725K,€7K,LCB
3355,E. Özgenç,33,Turkey,72,72,MKE Ankaragücü,€1.2M,€15K,RB
3356,D. Buitrago,27,Colombia,72,73,América de Cali,€3.6M,€2K,LAM
3357,C. Peralta,28,Colombia,72,72,La Equidad,€3.2M,€2K,ST
3358,A. Walke,35,Germany,72,72,FC Red Bull Salzburg,€725K,€12K,GK
3359,R. Thelander,26,Denmark,72,72,Vitesse,€2.7M,€10K,CB
3360,E. Unsain,23,Argentina,72,79,Defensa y Justicia,€3.2M,€6K,GK
3361,Jorge Pombo,24,Spain,72,79,Real Zaragoza,€4.4M,€8K,RS
3362,Porphirinho,30,Brazil,72,72,Chapecoense,€2.3M,€11K,LDM
3363,L. Cabrera,26,Uruguay,72,75,Getafe CF,€3.2M,€15K,LCB
3364,G. Núñez,30,Argentina,72,72,Atlético Tucumán,€2.9M,€9K,LM
3365,E. Berggreen,25,Denmark,72,76,1. FSV Mainz 05,€4.1M,€20K,ST
3366,E. Lamanna,28,Italy,72,74,Spezia,€2.6M,€3K,GK
3367,K. Kusk,26,Denmark,72,72,Aalborg BK,€3.3M,€11K,RM
3368,R. Espinoza,31,Honduras,72,72,Sporting Kansas City,€2.7M,€7K,RCM
3369,J. Bahebeck,25,France,72,75,FC Utrecht,€4M,€14K,ST
3370,C. Marshall,33,United States,72,72,Seattle Sounders FC,€1.3M,€6K,LCB
3371,Z. Ferhat,25,Algeria,72,75,Le Havre AC,€3.9M,€7K,RM
3372,M. Pack,27,England,72,73,Bristol City,€3.5M,€30K,LCM
3373,P. Lasogga,26,Germany,72,75,Hamburger SV,€3.9M,€12K,ST
3374,D. Verde,22,Italy,72,82,Real Valladolid CF,€5M,€35K,LW
3375,Alessinito,34,Brazil,72,72,Ceará Sporting Club,€950K,€14K,RDM
3376,J. Nsame,25,Cameroon,72,77,BSC Young Boys,€4.2M,€17K,ST
3377,A. Fransson,24,Sweden,72,77,IFK Norrköping,€4.1M,€5K,RCM
3378,J. Babin,31,France,72,72,Real Sporting de Gijón,€2.1M,€7K,LCB
3379,L. Suárez,22,Argentina,72,80,Real Valladolid CF,€4.6M,€18K,RM
3380,R. Shotton,29,England,72,72,Middlesbrough,€2.4M,€35K,RB
3381,Rafa Soares,23,Portugal,72,80,Vitória Guimarães,€3.9M,€6K,LB
3382,J. Galván,26,Argentina,72,75,Club Atlético Colón,€3.2M,€9K,CB
3383,V. Belec,28,Slovenia,72,74,Sampdoria,€2.6M,€18K,GK
3384,T. Lawrence,24,Wales,72,78,Derby County,€4.3M,€29K,LM
3385,M. Sobottka,24,Germany,72,78,Fortuna Düsseldorf,€3.6M,€16K,CDM
3386,A. Farías,30,Argentina,72,72,CD Palestino,€2.3M,€4K,RCM
3387,F. Gaibor,26,Ecuador,72,73,Independiente,€3.6M,€15K,RDM
3388,Rafael Leão,19,Portugal,72,86,LOSC Lille,€6.5M,€12K,ST
3389,Fernandinho,32,Brazil,72,72,Chongqing Dangdai Lifan FC SWM Team,€2.4M,€8K,LM
3390,P. Crouch,37,England,72,72,Stoke City,€1.1M,€25K,ST
3391,S. Adegbenro,22,Nigeria,72,80,Rosenborg BK,€4.6M,€6K,LW
3392,E. Martínez,25,Argentina,72,77,Arsenal,€3M,€40K,GK
3393,Roberto Torres,29,Spain,72,72,CA Osasuna,€3M,€9K,CAM
3394,N. De la Cruz,21,Uruguay,72,79,River Plate,€4.4M,€12K,CAM
3395,Rúben Micael,31,Portugal,72,72,Vitória de Setúbal,€2.7M,€6K,CM
3396,S. Koroki,31,Japan,72,72,Urawa Red Diamonds,€2.8M,€11K,LS
3397,C. Medjani,33,Algeria,72,72,Sivasspor,€1.3M,€10K,RDM
3398,M. Makola,32,South Africa,72,72,Orlando Pirates,€2.4M,€1K,LCM
3399,D. Sinkgraven,22,Netherlands,72,75,Ajax,€3.3M,€10K,LB
3400,F. Romagna,21,Italy,72,86,Cagliari,€6M,€14K,RCB
3401,Kiko Olivas,29,Spain,72,72,Real Valladolid CF,€2.4M,€14K,RCB
3402,I. Balliu,26,Albania,72,74,FC Metz,€3.1M,€6K,RB
3403,T. Pledl,24,Germany,72,75,FC Ingolstadt 04,€3.9M,€16K,RM
3404,Leordinho Paes,30,Brazil,72,72,Santos,€2.9M,€14K,LAM
3405,A. Tuanzebe,20,England,72,83,Aston Villa,€4.7M,€43K,RCB
3406,R. Wolf,30,Germany,72,72,Fortuna Düsseldorf,€2M,€15K,GK
3407,L. Abecasis,28,Argentina,72,72,Godoy Cruz,€2.5M,€11K,RB
3408,P. Kunde Malong,22,Cameroon,72,79,1. FSV Mainz 05,€3.7M,€15K,CDM
3409,Y. Orozco,27,Venezuela,72,72,Deportes Tolima,€3.3M,€4K,LW
3410,A. Bouzat,24,Argentina,72,78,Vélez Sarsfield,€4.3M,€11K,RW
3411,L. Mothiba,22,South Africa,72,81,RC Strasbourg Alsace,€4.9M,€13K,ST
3412,A. Rojas,32,Argentina,72,72,San Lorenzo de Almagro,€2.4M,€15K,LDM
3413,R. Walter,23,France,72,78,OGC Nice,€4.2M,€19K,CM
3414,S. Gakpé,31,Togo,72,72,KSV Cercle Brugge,€2.7M,€11K,RM
3415,Joselu,27,Spain,72,73,Real Oviedo,€3.6M,€10K,ST
3416,Angulo,34,Spain,72,72,Górnik Zabrze,€1.6M,€6K,LS
3417,Ricardo Valente,27,Portugal,72,72,Clube Sport Marítimo,€3.3M,€8K,LM
3418,M. Kean,18,Italy,72,87,Juventus,€6.5M,€32K,ST
3419,S. Dioudis,25,Greece,72,75,Panathinaikos FC,€2.8M,€1K,GK
3420,S. Pellissier,39,Italy,72,72,Chievo Verona,€900K,€10K,ST
3421,B. Afobe,25,DR Congo,72,76,Stoke City,€4.1M,€31K,ST
3422,C. Gytkjær,28,Denmark,72,72,Lech Pozna?,€3.2M,€9K,ST
3423,Kim Jin Su,26,Korea Republic,72,73,Jeonbuk Hyundai Motors,€3M,€8K,LB
3424,A. Cerri,22,Italy,72,80,Cagliari,€4.6M,€54K,ST
3425,F. Hübner,27,Germany,72,74,1. FC Union Berlin,€3M,€20K,LCB
3426,R. Strebinger,25,Austria,72,76,SK Rapid Wien,€2.9M,€10K,GK
3427,A. Çal?k,24,Turkey,72,77,Galatasaray SK,€3.5M,€28K,CB
3428,J. Ledley,31,Wales,72,72,Derby County,€2.1M,€27K,CDM
3429,A. Mobara,24,South Africa,72,77,Orlando Pirates,€3.5M,€1K,RB
3430,V. G?man,29,Romania,72,72,Al Shabab,€2.4M,€22K,RCB
3431,Hao Junmin,31,China PR,72,72,Shandong Luneng TaiShan FC,€2.7M,€14K,LCM
3432,L. Aued,31,Argentina,72,72,Universidad Católica,€2.7M,€8K,LCM
3433,C. Molinaro,34,Italy,72,72,Frosinone,€875K,€11K,LB
3434,S. Medina,26,Colombia,72,74,Monterrey,€3.1M,€28K,RWB
3435,K. Diks,21,Netherlands,72,79,Fiorentina,€3.7M,€23K,RB
3436,A. Büyük,30,Turkey,72,72,Yeni Malatyaspor,€2.9M,€11K,LM
3437,Guitián,27,Spain,72,74,Real Zaragoza,€3M,€7K,CB
3438,C. Christie,25,Republic of Ireland,72,75,Fulham,€3.2M,€32K,RCM
3439,R. Žulj,26,Austria,72,74,1. FC Union Berlin,€3.8M,€25K,CF
3440,João Afonso,28,Portugal,72,72,Vitória Guimarães,€2.5M,€8K,CB
3441,S. Decarli,26,Switzerland,72,75,Club Brugge KV,€3.2M,€15K,CB
3442,R. McCormack,31,Scotland,72,72,Central Coast Mariners,€2.8M,€16K,LS
3443,B. Trawally,23,Gambia,72,78,Guizhou Hengfeng FC,€4.3M,€11K,LS
3444,R. Danzé,31,France,72,72,Stade Rennais FC,€2M,€20K,RB
3445,Hwang Hee Chan,22,Korea Republic,72,82,Hamburger SV,€5M,€24K,ST
3446,S. Coopman,23,Belgium,72,77,KV Oostende,€4.2M,€10K,CAM
3447,S. Perica,22,Croatia,72,77,Frosinone,€4.2M,€18K,ST
3448,A. Mena,30,Ecuador,72,72,Cruz Azul,€2.9M,€20K,RW
3449,Rubén García,24,Spain,72,77,CA Osasuna,€4.2M,€7K,LM
3450,Jairinhazo,30,Brazil,72,72,Sport Club do Recife,€2.9M,€12K,RAM
3451,Diogo Dalot,19,Portugal,72,84,Manchester United,€4.7M,€26K,RB
3452,Pedro Sánchez,31,Spain,72,72,Deportivo de La Coruña,€2.7M,€8K,RM
3453,P. Arajuuri,30,Finland,72,72,Brøndby IF,€2.3M,€18K,RCB
3454,Álex Fernández,25,Spain,72,77,Cádiz CF,€3.5M,€7K,CAM
3455,Jessé Ledeiro,30,Brazil,72,72,Cruzeiro,€2.9M,€20K,CAM
3456,T. Torun,28,Turkey,72,72,Bursaspor,€3.1M,€18K,CAM
3457,J. Windass,24,England,72,78,Wigan Athletic,€4.3M,€32K,CAM
3458,T. Romanczuk,26,Poland,72,74,Jagiellonia Bia?ystok,€3.1M,€7K,LDM
3459,K. Pedersen,23,Denmark,72,77,Birmingham City,€3.5M,€16K,LB
3460,L. Carole,27,France,72,73,RC Strasbourg Alsace,€2.9M,€13K,LWB
3461,F. Al Muwallad,23,Saudi Arabia,72,77,Al Ittihad,€4.2M,€23K,LM
3462,S. van de Streek,25,Netherlands,72,74,FC Utrecht,€3.8M,€13K,CAM
3463,Renato Santos,26,Portugal,72,72,Málaga CF,€3.3M,€8K,RM
3464,Àngel Rangel,35,Spain,72,72,Queens Park Rangers,€675K,€5K,RB
3465,L. Reyes,27,Mexico,72,73,Club América,€2.9M,€35K,LB
3466,K. Letica,21,Croatia,72,80,Club Brugge KV,€3.5M,€8K,GK
3467,C. Brunt,33,Northern Ireland,72,72,West Bromwich Albion,€1.8M,€24K,CM
3468,I. Mbenza,22,Belgium,72,80,Huddersfield Town,€4.6M,€17K,ST
3469,A. Castro,23,Argentina,72,78,San Lorenzo de Almagro,€4.3M,€13K,LM
3470,O. Nyland,27,Norway,72,74,Aston Villa,€2.5M,€11K,GK
3471,M. Iori,36,Italy,72,72,Cittadella,€975K,€2K,CM
3472,D. Pavelka,27,Czech Republic,72,75,Kasimpa?a SK,€3.1M,€10K,LCM
3473,R. Keogh,31,Republic of Ireland,72,72,Derby County,€2.1M,€27K,RCB
3474,Adrián Burnabão,34,Brazil,72,72,Botafogo,€1.6M,€16K,LAM
3475,F. Sammaritano,32,France,72,72,Dijon FCO,€2.4M,€11K,LM
3476,J. Fernández,30,Argentina,72,72,Rosario Central,€2.9M,€12K,LM
3477,Munir,29,Morocco,72,73,Málaga CF,€2.4M,€6K,GK
3478,J. Nieto,25,Colombia,72,77,Once Caldas,€4.1M,€4K,RCM
3479,Carlos Fernández,22,Spain,72,82,Deportivo de La Coruña,€5M,€11K,LS
3480,S. Mosquera,23,Colombia,72,80,FC Dallas,€4.6M,€6K,LM
3481,J. Pereira,31,Mexico,72,72,Guadalajara,€2.1M,€24K,RCB
3482,Jorge Carvallinho,34,Brazil,72,72,Botafogo,€950K,€15K,RCB
3483,R. ?ezník,29,Czech Republic,72,72,Viktoria Plze?,€2.4M,€1K,RCB
3484,Y. Mulumbu,31,DR Congo,72,72,Celtic,€2.1M,€32K,CDM
3485,A. Esswein,28,Germany,72,72,Hertha BSC,€3.1M,€20K,RM
3486,L. Boyé,22,Argentina,72,81,AEK Athens,€4.9M,€1K,LM
3487,J. van Overeem,24,Netherlands,72,75,FC Utrecht,€3.9M,€12K,CDM
3488,M. Mahi,24,Morocco,72,76,FC Groningen,€4.1M,€7K,ST
3489,D. Henderson,21,England,72,83,Sheffield United,€4.2M,€31K,GK
3490,I. Lewczuk,33,Poland,72,72,FC Girondins de Bordeaux,€1.3M,€25K,CB
3491,F. Kroos,27,Germany,72,75,1. FC Union Berlin,€3.1M,€20K,LCM
3492,F. Quignon,25,Argentina,72,77,Club Atlético Lanús,€4.1M,€13K,LCM
3493,D. N'Dinga,30,Congo,72,72,Sivasspor,€2.3M,€10K,CDM
3494,Welinton,29,Brazil,72,72,Alanyaspor,€2.4M,€11K,CB
3495,L. Jiménez,29,Colombia,72,72,Club Atlas,€2.4M,€15K,LCB
3496,N. Mushekwi,30,Zimbabwe,72,72,Dalian YiFang FC,€3M,€11K,ST
3497,J. Jugas,26,Czech Republic,72,76,SK Slavia Praha,€3.3M,€1K,CB
3498,Claiton,33,Brazil,72,72,US Cremonese,€1.3M,€3K,LCB
3499,G. Zusi,31,United States,72,72,Sporting Kansas City,€2M,€6K,RB
3500,J. Mauri,22,Italy,72,79,Milan,€4.3M,€43K,CM
3501,L. Sigali,31,Argentina,72,72,Racing Club,€2.1M,€14K,RCB
3502,I. Seck,28,Senegal,72,72,KRC Genk,€2.5M,€11K,CDM
3503,D. Gonzo,22,Paraguay,72,78,,€ 0,€ 0,RM
3504,Su Boyang,29,China PR,72,73,Guizhou Hengfeng FC,€2.4M,€9K,GK
3505,L. Caldirola,27,Italy,72,72,SV Werder Bremen,€2.6M,€17K,CB
3506,G. Hauche,31,Argentina,72,72,Millonarios FC,€2.8M,€4K,LM
3507,B. Hrgota,25,Sweden,72,75,Eintracht Frankfurt,€4M,€24K,ST
3508,D. Morales,31,Argentina,72,72,Club Atlético Tigre,€2.7M,€11K,CAM
3509,M. Milligan,32,Australia,72,72,Hibernian,€1.8M,€6K,LCB
3510,D. ?op,28,Croatia,72,72,Real Valladolid CF,€3.2M,€14K,ST
3511,A. Andrade,29,Colombia,72,72,Club Atlas,€3M,€22K,LCM
3512,F. Ricci,24,Italy,72,75,Benevento,€3.9M,€31K,LW
3513,A. Ömür,19,Turkey,72,79,Trabzonspor,€4.2M,€10K,RM
3514,M. Erdinç,31,Turkey,72,72,Antalyaspor,€2.8M,€19K,ST
3515,D. Zabala,26,Uruguay,72,72,Unión de Santa Fe,€3.3M,€11K,RM
3516,R. Canouse,23,United States,72,80,DC United,€3.9M,€5K,RDM
3517,A. Hoffmann,25,Germany,72,76,Fortuna Düsseldorf,€3.4M,€18K,CB
3518,J. Mattheij,25,Netherlands,72,75,Excelsior,€3.3M,€5K,RCB
3519,M. Sprocati,24,Italy,72,75,Parma,€3.9M,€29K,LW
3520,J. Torres Nilo,30,Mexico,72,72,Tigres U.A.N.L.,€2.2M,€32K,LCB
3521,D. Kombarov,31,Russia,72,72,Spartak Moscow,€2M,€1K,LB
3522,R. Métanire,28,Madagascar,72,72,Stade de Reims,€2.5M,€13K,RB
3523,João Schmidt,25,Brazil,72,76,Rio Ave FC,€3.9M,€18K,LCM
3524,H. Palacios,25,Colombia,72,77,Atlético Nacional,€3.4M,€4K,RB
3525,Gao Lin,32,China PR,72,72,Guangzhou Evergrande Taobao FC,€2.5M,€14K,ST
3526,A. Gerndt,31,Sweden,72,72,FC Lugano,€2.8M,€8K,LS
3527,H. Bandé,19,Burkina Faso,72,84,Ajax,€5.5M,€7K,LW
3528,E. Jakupovi?,33,Switzerland,72,72,Leicester City,€1.6M,€30K,GK
3529,L. Ardente,36,Argentina,72,72,San Martín de San Juan,€425K,€5K,GK
3530,S. Koç,29,Germany,72,72,Çaykur Rizespor,€3M,€12K,RM
3531,E. Andersen,25,Norway,72,73,Strømsgodset IF,€3.7M,€4K,LM
3532,E. Insúa,27,Argentina,72,73,Panathinaikos FC,€2.9M,€1K,LB
3533,Simy,26,Nigeria,72,75,Crotone,€3.9M,€4K,ST
3534,G. Angella,29,Italy,72,72,Sporting de Charleroi,€2.4M,€18K,CB
3535,Felipe,27,Brazil,72,72,Vancouver Whitecaps FC,€3.2M,€7K,RCM
3536,J. Correa,25,Argentina,72,75,Club Atlético Colón,€4M,€11K,ST
3537,F. Coloccini,36,Argentina,72,72,San Lorenzo de Almagro,€425K,€10K,CB
3538,S. Frei,32,United States,72,72,Seattle Sounders FC,€1.8M,€5K,GK
3539,F. Ceravolo,31,Italy,72,72,Parma,€2.8M,€30K,ST
3540,F. Eboa Eboa,21,Cameroon,72,79,En Avant de Guingamp,€3.8M,€11K,CB
3541,A. Abedzadeh,25,Iran,72,77,Clube Sport Marítimo,€3M,€6K,GK
3542,S. Gustafson,23,Sweden,72,77,FC Utrecht,€4.2M,€12K,RCM
3543,A. Tello,21,Colombia,72,82,Benevento,€5M,€3K,RCM
3544,O. Hurmac?,31,Turkey,72,72,BB Erzurumspor,€2.7M,€11K,LM
3545,R. Gutiérrez,35,Chile,72,72,CD Palestino,€1.4M,€3K,ST
3546,N. Murru,23,Italy,72,77,Sampdoria,€3.5M,€18K,LB
3547,W. Zimmerman,25,United States,72,76,Los Angeles FC,€3.4M,€6K,LCB
3548,G. Lanaro,32,Argentina,72,72,Universidad Católica,€1.8M,€8K,RCB
3549,I. Canuto,32,Argentina,72,72,Club Atlético Tigre,€1.8M,€10K,RCB
3550,S. Nakamura,40,Japan,72,72,Júbilo Iwata,€ 0,€4K,CAM
3551,Vasco Fernandes,31,Portugal,72,72,Vitória de Setúbal,€2.1M,€5K,LCB
3552,Luís Leal,31,São Tomé & Príncipe,72,72,Newell's Old Boys,€2.8M,€15K,ST
3553,M. González,37,Argentina,72,72,Club Atlético Colón,€1M,€8K,LM
3554,J. Barreiro,24,Colombia,72,80,Pachuca,€3.9M,€12K,CB
3555,Clayton Fildeiras,34,Brazil,72,72,América FC (Minas Gerais),€1.6M,€12K,RAM
3556,N. Mazraoui,20,Morocco,72,80,Ajax,€3.9M,€8K,RB
3557,Bruno Uvini,27,Brazil,72,73,Al Nassr,€2.9M,€24K,RCB
3558,R. Sigurjónsson,28,Iceland,72,72,Grasshopper Club Zürich,€3.1M,€12K,CM
3559,P. Arriola,23,United States,72,77,DC United,€4.2M,€6K,RM
3560,E. Buendía,21,Argentina,72,79,Norwich City,€4.4M,€15K,RM
3561,G. Gillet,34,Belgium,72,72,Racing Club de Lens,€950K,€8K,CDM
3562,B. Méndez,18,Uruguay,72,82,,€ 0,€ 0,RCB
3563,A. Briseño,24,Mexico,72,77,CD Feirense,€3.5M,€7K,RCB
3564,S. Sáez,33,Argentina,72,72,Universidad Católica,€2M,€9K,ST
3565,F. Zuqui,26,Argentina,72,73,Estudiantes de La Plata,€3.6M,€12K,RM
3566,R. Lamah,30,Belgium,72,72,FC Dallas,€2.9M,€7K,LM
3567,Paulao Junqueiras,30,Brazil,72,72,Grêmio,€3M,€22K,ST
3568,G. Escobar,21,Argentina,72,80,Club Atlético Colón,€3.9M,€7K,LB
3569,S. ?urkowski,20,Poland,72,83,Górnik Zabrze,€5.5M,€4K,LCM
3570,Diego Ângelo,32,Brazil,72,72,Antalyaspor,€1.8M,€12K,LCB
3571,M. Johansson,26,Sweden,72,75,Panathinaikos FC,€3.2M,€1K,RB
3572,O. John,26,Netherlands,72,72,Vitória Guimarães,€3.3M,€8K,LM
3573,Filipe Augusto,24,Brazil,72,79,Alanyaspor,€3.7M,€7K,CDM
3574,F. Lértora,27,Argentina,72,73,Belgrano de Córdoba,€2.9M,€10K,CDM
3575,A. Barboza,23,Argentina,72,77,Defensa y Justicia,€3.5M,€13K,LCB
3576,T. Savanier,26,France,72,75,Nîmes Olympique,€3.8M,€14K,LCM
3577,Daniel Guimarães,31,Brazil,72,72,CD Nacional,€1.9M,€7K,GK
3578,E. Ofori,23,Ghana,72,78,New York City FC,€4.2M,€20K,CM
3579,E. Karaca,28,Turkey,72,72,Alanyaspor,€3.1M,€12K,RM
